ID;User Story;Scenario 1;Scenario 2;Scenario 3;Prompt
US1;"COMO gerente de um sistema
QUERO Cadastrar usuários
PARA Utilizar o sistema e conseguir cadastrar oportunidades.";"Menu - usuários
Given o Sales Director ou Admin Partner
When acionada a opção ""Usuários"" no menu
Then o gerente tenha acesso a cadastrar novos usuários no sistema.";"Cadastrar novo usuário, usando o acesso pelo canal
Given o Sales Director ou Admin Partner
When acionado a opção ""Canais"" no menu 
And apresentado a listagem dos canais que já foram cadastrados no sistema
And selecione um canal
Then realize o cadastro de novos usuários.";"Cadastro de usuários - comum
Given o Sales Director ou Admin Partner
When acessado a interface de ""Usuários""
And acionado a opção de cadastrar novos usuários
And o sistema apresenta a tela com campos para preencher
Then realiza a operação com sucesso.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 
""COMO gerente de um sistema
QUERO Cadastrar usuários
PARA Utilizar o sistema e conseguir cadastrar oportunidades.""
e nos critérios de aceites 
""
Critério 1
Given logado como Admin Partner
When acionada a opção User no menu
AND inserir o nome do usuario <Usuarios>
AND inserir o email do usuario <email>
AND inserir o canal do usuario <Canais>
Then o gerente recebe uma informação de usuário cadastrado com sucessp
AND o usuário recebe um email para criar sua senha

Critério 2
Given logado como Sales Director ou Admin Partner
When acionado a opção <Canais> no menu 
And apresentado a listagem dos canais que já foram cadastrados no sistema
And selecione um canal
AND clicar em adicionar usuário no canal
AND inserir o nome do usuario <Usuarios>
AND inserir o email do usuario <email>
AND inserir o canal do usuario <Canais>
Then o gerente recebe uma informação de usuário cadastrado com sucessp
AND o usuário recebe um email para criar sua senha

Critério 3
Given o Sales Director
When acessado a interface de <Usuários>
And acionado a opção de cadastrar novos usuários
And o sistema apresenta a tela com campos para preencher
AND inserir o nome do usuario <Usuarios>
AND inserir o email do usuario <email>
Then o gerente recebe uma informação de usuário cadastrado com sucessp
AND o usuário recebe um email para criar sua senha

Example
|Usuarios|email|Canais|
|Joselito|joselito@canal1.com|Canal1|
|Marcio|marcio@canal1.com|Canal1| 
|Cintia|cintia@canal1.com|Canal2|
""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US2;"COMO usuário com permissionamento a lista de canais
QUERO poder utilizar filtros na lista
PARA realizar busca de forma mais objetiva.";"Busca
Given o Sales Director ou Admin Partner
When escrevendo algo no campo de busca
Then o sistema apresenta a listagem com os dados conforme a busca do usuário.";"Ordenação
Given o Sales Director ou Admin Partner
When acionado a opção de ordenação alfabética ou por recentes
Then o sistema ordenar conforme selecionado pelo usuário.";"Tag de filtro
Given o Sales Director ou Admin Partner
When acionado as opções de filtro
Then o sistema apresenta as tags que foram geradas de acordo com o filtro e a listagem com as informações.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 
""COMO usuário com permissionamento a lista de canais
QUERO poder utilizar filtros na lista
PARA realizar busca de forma mais objetiva.""

e nos critérios de aceites

""
Critério 1
Given o <perfil>
When escrevendo algo no campo de busca <texto>
Then o sistema apresenta a listagem com os dados conforme a busca do usuário <msg>.

Critério 2
Given o <perfil>
When acionado a opção de ordenação alfabética ou por recentes
Then o sistema ordenar conforme selecionado pelo usuário.

Critério 3
Given o Sales Director ou Admin Partner
When acionado as opções de filtro
Then o sistema apresenta as tags que foram geradas de acordo com o filtro e a listagem com as informações.

Examples>
|perfil|texto|msg|
|director|cli|clientes|
|admin|prod|produtos|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US3;"COMO Gerencia do Sistema
QUERO visualizar informações dos perfis
PARA uma melhor tomada de decisão viabilizando os permissionamentos.";"Perfil
Given o Sales Director ou Admin Partner
When acionado o menu ""Administração de Perfil""
Then o sistema apresenta a tela com os perfis cadastrados no sistema.";"Visualização do perfil - Dados do perfil
Given o Sales Director ou Admin Partner
When selecionando em um perfil
Then o sistema deve apresentar o nome do perfil, descrição e cor de tag conforme feito no cadastro do perfil.";"Visualização do perfil - Quantidade de usuários
Given o Sales Director ou Admin Partner
When selecionando em um perfil
Then o sistema deve apresentar a quantidade de usuários que foram vinculados a esse perfil.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 
""COMO Gerencia do Sistema
QUERO visualizar informações dos perfis
PARA uma melhor tomada de decisão viabilizando os permissionamentos.""

e nos critérios de aceites

""
Critério 1
Given o <perfil>
When acionado o menu Administração de Perfil
Then o sistema apresenta a tela com os perfis cadastrados no sistema.

Critério 2
Given o <perfil>
When selecionando meu perfil
Then o sistema deve apresentar o nome do perfil, descrição e cor de tag conforme feito no cadastro do perfil


Critério 3
Given o <perfil>
When selecionando um perfil <tipo>
Then o sistema deve apresentar a quantidade <qtd> de usuários que foram vinculados a esse perfil.

Examples
|perfil|tipo|qtd|
|director|diretor|2|
|director|admin|50|
|admin|admin|50|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US4;"COMO Dono da oportunidade
QUERO realizar solicitações
PARA ganhar desconto.";"Solicitação
Given Dono da oportunidade
When acessando a oportunidade após estar aprovada
And abrindo a tab da solicitação
And selecionando o produto que seja o desconto
And justificando o motivo da solicitação
Then o sistema irá enviar a notificação ao Sales director e deixará a solicitação com status de aguardando analise.";"Aprovando a solicitação
Given Sales Director
When recebendo a notificação da solicitação por e-mail
And acessando a oportunidade
And aprovando a solicitação
And adicionando o valor que deseja dar o desconto e salvando a informação
Then o sistema aplica o desconto extra por produto.";"Reprovando a solicitação
Given Sales Director
When acessando a oportunidade
And clicando em reprovar a solicitação e justificando o motivo
Then o sistema irá apresentar uma notificação dentro da oportunidade, com o motivo da reprovação e o status da solicitação.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO Dono da oportunidade
QUERO realizar solicitações
PARA ganhar desconto.""

e nos critérios de aceites

""
Critério 1
Given Dono da oportunidade
When acessando a oportunidade após estar aprovada
And abrindo a tab da solicitação
And selecionando o produto que seja o desconto
And adicionando a justigicativa preciso de desconto, pois estou no meio de uma licitação
And enviando a solicitação
Then o sistema irá enviar a notificação ao Sales director e deixará a solicitação com status de aguardando analise.

Critério 2
Given Sales Director
When recebendo a notificação da solicitação por e-mail
And acessando a oportunidade
And aprovando a solicitação
And adicionando o valor que deseja dar o desconto e salvando a informação
Then o sistema aplica o desconto extra por produto.


Critério 3
Given Sales Director
When acessando a oportunidade
And clicando em reprovar a solicitação e justificando o motivo
Then o sistema irá apresentar uma notificação dentro da oportunidade, com o motivo da reprovação e o status da solicitação.
""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US5;"COMO usuário de gerencia do Sistema
QUERO definir os níveis de acesso dos usuários
PARA conceder o permissionamento do usuário no sistema com base nas atividades e rotinas.";"Criando um perfil
Given que o Sales Director ou Admin Partner
When acionado o menu ""Administração de Perfil""
And selecionado a opção de criar novo
And preenchendo os campos solicitados
Then o sistema criará um novo perfil.";"Definindo o acesso
Given que o Sales Director ou Admin Partner
When clicando na opção de cadastrar novo perfil
And selecionando quais as funcionalidades e permissionamentos do perfil
Then o sistema irá salvar os dados, permitindo que os usuários daquele perfil, realize as ações que foram definidas.";"Perfil Padrão
Given que o Sales Director
When acessando os perfis
Then o sistema deve apresentar os perfis que são padrão do sistema (Admin Partner e Sales Director).";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO usuário de gerencia do Sistema
QUERO definir os níveis de acesso dos usuários
PARA conceder o permissionamento do usuário no sistema com base nas atividades e rotinas.""

e nos critérios de aceites

""
Critério 1
Given que o Sales Director ou Admin Partner
When acionado o menu Administração de Perfil
And selecionado a opção de criar novo
And preenchendo os campos perfil <perfil>
Then o sistema criará um novo perfil e exibira <perfil> criado com sucesso.

Critério 2
Given que o Sales Director ou Admin Partner
When clicando na opção de cadastrar novo perfil
And selecionando quais as funcionalidades <funcionalidade> e permissionamentos do perfil <perfil>
Then o sistema irá salvar os dados, permitindo que os usuários daquele perfil, realize as ações que foram definidas e exibira uma mensagem <perfil> modificado.


Critério 3
Given que o Sales Director
When acessando os perfis
Then o sistema deve apresentar os perfis que são padrão do sistema (Admin Partner e Sales Director).

Examples:
|perfil|funcionalidade|
|vendedor|CUL|
|coordenadorvendas|CRUD|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US6;"COMO bancário
QUERO ter acesso ao sistema
PARA conseguir aprovar empréstimos.";"Aprovando empréstimo
Given que sou o bancário
When cliente possui crédito financeiro
And não tem pendências em seu CPF
Then posso aprovar o empréstimo";"Empréstimo negado
Given que sou o bancário
When cliente solicita empréstimo
And possui nome negativado
Then empréstimo não pode ser deferido";;"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""""COMO bancário
QUERO ter acesso ao sistema
PARA conseguir aprovar empréstimos.""

e nos critérios de aceites

""
Critério 1
Given que sou o bancário
When cliente possui crédito financeiro <perfil>
And não tem pendências em seu CPF
Then posso aprovar o empréstimo <func>

Critério 2
Given que sou o bancário
When cliente solicita empréstimo <perfil>
And possui nome negativado
Then empréstimo não pode ser deferido <func>

Examples:
|perfil|funcionalidade|
|cliente|aprov|
|pj|reprov|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US7;"COMO usuário de gerencia do Sistema
QUERO uma listagem dos canais
PARA que seja possível visualizar e gerenciar os canais que já foram cadastrados no sistema.";"Menu - Sales Director
Given que o Sales Director
When acionado o menu ""Canais""
Then o sistema apresenta a tela com listagem com todos os canais cadastrados no sistema. ";"Menu - Admin Partner
Given que o Admin Partner
When acionado o menu ""Canais""
Then o sistema apresenta a tela com listagem com as filiais do canal que foram cadastrados no sistema. ";"Filtros 
Given que o Sales Director ou Admin Partner
When acionado as opções de filtrar
Then o sistema apresenta a listagem conforme seleção do filtro.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO usuário de gerencia do Sistema
QUERO uma listagem dos canais
PARA que seja possível visualizar e gerenciar os canais que já foram cadastrados no sistema.""

e nos critérios de aceites

""
Critério 1
Given que o Sales Director
When acionado o menu """"Canais"""" <menu>
Then o sistema apresenta a tela com listagem com todos os canais cadastrados no sistema. <canal>

Critério 2
Given que o Admin Partner
When acionado o menu """"Canais"""" <menu>
Then o sistema apresenta a tela com listagem com as filiais do canal que foram cadastrados no sistema. <filial>

Critério 3 
Given que o Sales Director ou Admin Partner <perfil>
When acionado as opções de filtrar <filtro>
Then o sistema apresenta a listagem conforme seleção do filtro.

Examples:
|menu|canal|filial|filtro|
|cadastros|estados|sergipe|admin|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US8;"COMO Gerencia do Sistema
QUERO visualizar informações dos canais
PARA uma melhor tomada de decisão";"Visualização de detalhes
Given que Sales Director ou Admin Partner
When acionado mais detalhes do canal
Then o sistema apresentará a tela com todos os dados adicionados pelo usuário.";"Informações das oportunidades
Given que Sales Director ou Admin Partner
When acionado mais detalhes de um canal
Then o sistema irá projetar dados das oportunidades em andamento, ganhas, perdidas e o total.";"Informações das oportunidades
Given que Sales Director ou Admin Partner
When acionado mais detalhes de um canal
Then acessará uma listagem com todos os usuários vinculados ao canal.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO Gerencia do Sistema
QUERO visualizar informações dos canais
PARA uma melhor tomada de decisão""

e nos critérios de aceites

""
Critério 1
Given que Sales Director ou Admin Partner <perfil>
When acionado mais detalhes do canal <filtro>
Then o sistema apresentará a tela com todos os dados adicionados pelo usuário..

Critério 2
Given que Sales Director ou Admin Partner <perfil>
When acionado mais detalhes de um canal <filtro>
Then o sistema irá projetar dados das oportunidades em andamento, ganhas, perdidas e o total.

Critério 3
Given que Sales Director ou Admin Partner <perfil>
When acionado mais detalhes de um canal <filtro>
Then acessará uma listagem com todos os usuários vinculados ao canal

Examples:
|perfil|filtro|
|admin|detalhes|
|salesdirector|pesquisaavançada|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US9;"COMO usuário de gerência no sistema
QUERO Editar os canais dentro do sistema
PARA acompanhar e gerenciar.";"Editar cadastro de canal
Given o Sales Director ou Admin Partner
When acionado a opção editar, no cadastro do canal
Then o sistema habilita a edição de campos do cadastro do canal.";"Salvando os dados
Given o Sales Director ou Admin Partner
When acionado a opção editar, no cadastro do canal
And alterando dados
Then o sistema permite que os dados sejam salvos e as informações fiquem registradas.";"Inativando um canal
Given o Sales Director ou Admin Partner
When acionado a opção editar
And selecionando a opção ""Inativar""
And confirmar a operação
Then o canal fica sem acesso ao sistema.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO usuário de gerência no sistema
QUERO Editar os canais dentro do sistema
PARA acompanhar e gerenciar.""

e nos critérios de aceites

""
Critério 1
Given o Sales Director ou Admin Partner <perfil>
When acionado a opção editar, no cadastro do canal <opção>
Then o sistema habilita a edição de campos do cadastro do canal.

Critério 2
Given o Sales Director ou Admin Partner <perfil>
When acionado a opção editar, no cadastro do canal <opção>
And alterando dados
Then o sistema permite que os dados sejam salvos e as informações fiquem registradas.

Critério 3
Given o Sales Director ou Admin Partner <perfil>
When acionado a opção editar <opção>
And selecionando a opção """"Inativar""""
And confirmar a operação
Then o canal fica sem acesso ao sistema.

Examples:
|perfil|opção|
|admin|editar|
|salesdirector|invalidar|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
US10;"COMO usuário de gerencia do Sistema
POSSO Cadastrar usuários
PARA Utilizar o sistema e conseguir cadastrar oportunidades";"Menu - usuários
Given o Sales Director ou Admin Partner
When acionado a opção ""Usuários"" no menu
Then o gerente tenha acesso a cadastrar novos usuários no sistema.";"Cadastrar novo usuário, usando o acesso pelo canal
Given o Sales Director ou Admin Partner
When acionado a opção ""Canais"" no menu
And apresentado a listagem dos canais que já foram cadastrados no sistema
And selecione um canal
Then realize o cadastro de novos usuários.";"Cadastro de usuários - comum
Given o Sales Director ou Admin Partner
When acessado a interface de ""Usuários"" 
And acionado a opção de cadastrar novos usuários
And o sistema apresenta a tela com campos para preencher
Then realiza a operação com sucesso.";"Você é um analista de teste, responsável pela criação de testes unitários, com base na história de usuário 

""COMO usuário de gerencia do Sistema
POSSO Cadastrar usuários
PARA Utilizar o sistema e conseguir cadastrar oportunidades""

e nos critérios de aceites

""
Critério 1
Given o Sales Director ou Admin Partner <perfil>
When acionado a opção """"Usuários"""" no menu <opção>
Then o gerente tenha acesso a cadastrar novos usuários no sistema.

Critério 2
Given o Sales Director ou Admin Partner <perfil>
When acionado a opção """"Canais"""" no menu <opção>
And apresentado a listagem dos canais que já foram cadastrados no sistema
And selecione um canal <opção>
Then realize o cadastro de novos usuários.

Critério 3
Given o Sales Director ou Admin Partner <perfil>
When acessado a interface de """"Usuários"""" 
And acionado a opção de cadastrar novos usuários <perfil>
And o sistema apresenta a tela com campos para preencher
Then realiza a operação com sucesso.

Examples:
|perfil|opção|
|admin|usuário|
|salesdirector|canal|

""
baseados no gherking, crie os testes unitários, implemente os testes com os asserts e a com a lógica de teste pensando em test first, para a linguagem de programação python baseados no framework Pytest-bdd e explique como usar o código"
